item,ext
http://www.wikidata.org/entity/Q1193162,http://pcp-on-web.de/ontology#Enrollment
http://www.wikidata.org/entity/Q1195245,https://schema.org/BeautySalon
http://www.wikidata.org/entity/Q1195942,https://schema.org/FireStation
http://www.wikidata.org/entity/Q1196129,http://www.w3.org/2006/vcard/ns#Spouse
http://www.wikidata.org/entity/Q1196904,http://id.loc.gov/authorities/classification/cf94050271
http://www.wikidata.org/entity/Q1198887,http://dbpedia.org/ontology/MusicDirector
http://www.wikidata.org/entity/Q1200957,https://schema.org/TouristDestination
http://www.wikidata.org/entity/Q120647861,https://schema.org/LodgingBusiness
http://www.wikidata.org/entity/Q120877,http://eurovoc.europa.eu/6171
http://www.wikidata.org/entity/Q120877,http://linkeddata.ge.imati.cnr.it:2020/resource/EARTh/94760
http://www.wikidata.org/entity/Q120877,http://www.eionet.europa.eu/gemet/concept/1484
http://www.wikidata.org/entity/Q121182,http://data.europa.eu/bkc/019.03.01.0550
http://www.wikidata.org/entity/Q121182,http://dbpedia.org/resource/Information_system
http://www.wikidata.org/entity/Q121182,http://id.cabi.org/cabt/61024
http://www.wikidata.org/entity/Q121182,http://linkeddata.ge.imati.cnr.it:2020/resource/EARTh/94480
http://www.wikidata.org/entity/Q121182,http://www.eionet.europa.eu/gemet/concept/4311
http://www.wikidata.org/entity/Q121306412,https://www.wikifunctions.org/wiki/Z1
http://www.wikidata.org/entity/Q12136,http://dbpedia.org/ontology/Disease
http://www.wikidata.org/entity/Q12140,http://purl.obolibrary.org/obo/CHEBI_23888
http://www.wikidata.org/entity/Q12140,https://schema.org/Drug
http://www.wikidata.org/entity/Q12143,http://www.w3.org/2006/time#TimeZone
http://www.wikidata.org/entity/Q121594,http://id.loc.gov/entities/roles/professor
http://www.wikidata.org/entity/Q121998,http://dbpedia.org/ontology/Ambassador
http://www.wikidata.org/entity/Q12263866,http://www.lexinfo.net/ontology/3.0/lexinfo#DemonstrativeDeterminer
http://www.wikidata.org/entity/Q12280,http://dbpedia.org/ontology/Bridge
http://www.wikidata.org/entity/Q12280,https://schema.org/Bridge
http://www.wikidata.org/entity/Q12284,https://schema.org/Canal
http://www.wikidata.org/entity/Q122976111,https://finto.fi/koko/en/page/p81886
http://www.wikidata.org/entity/Q123005968,http://archaeology.link/ontology#ActorEntity
http://www.wikidata.org/entity/Q12323,http://dbpedia.org/ontology/Dam
http://www.wikidata.org/entity/Q12372738,http://id.cabi.org/cabt/23534
http://www.wikidata.org/entity/Q1238720,https://schema.org/PublicationVolume
http://www.wikidata.org/entity/Q123964505,http://dbpedia.org/ontology/PopulatedPlace
http://www.wikidata.org/entity/Q123964505,http://kbpedia.org/kko/rc/PopulatedPlace
http://www.wikidata.org/entity/Q124059801,https://dbpedia.org/ontology/AmericanFootballLeague
http://www.wikidata.org/entity/Q124081236,https://schema.org/EntertainmentBusiness
http://www.wikidata.org/entity/Q12420428,http://id.cabi.org/cabt/7123
http://www.wikidata.org/entity/Q12420428,http://lemac.sgcb.mcu.es/Autoridades/LEMAC201200634/concept
http://www.wikidata.org/entity/Q1248784,http://dbpedia.org/ontology/Airport
http://www.wikidata.org/entity/Q1248784,https://schema.org/Airport
http://www.wikidata.org/entity/Q12503,https://schema.org/Integer
http://www.wikidata.org/entity/Q12516,http://dbpedia.org/ontology/Pyramid
http://www.wikidata.org/entity/Q1251750,https://schema.org/Distillery
http://www.wikidata.org/entity/Q12518,http://dbpedia.org/ontology/Tower
http://www.wikidata.org/entity/Q125191,http://eurovoc.europa.eu/c_cdec6719
http://www.wikidata.org/entity/Q125191,http://id.cabi.org/cabt/89399
http://www.wikidata.org/entity/Q125191,https://schema.org/Photograph
http://www.wikidata.org/entity/Q126017,https://schema.org/Distance
http://www.wikidata.org/entity/Q1260632,http://id.loc.gov/ontologies/bibframe/Content
