prop,ext,type,status
http://www.wikidata.org/entity/P1036,http://id.loc.gov/ontologies/bibframe/ClassificationDdc,Exact_Prop,
http://www.wikidata.org/entity/P1149,http://id.loc.gov/ontologies/bibframe/ClassificationLcc,Equiv_Prop,
http://www.wikidata.org/entity/P356,http://id.loc.gov/ontologies/bibframe/Doi,Equiv_Prop,
http://www.wikidata.org/entity/P2047,http://id.loc.gov/ontologies/bibframe/duration,Equiv_Prop,
http://www.wikidata.org/entity/P9767,http://id.loc.gov/ontologies/bibframe/editionEnumeration,Exact_Prop,
http://www.wikidata.org/entity/P9767,http://id.loc.gov/ontologies/bibframe/editionStatement,Exact_Prop,
http://www.wikidata.org/entity/P1184,http://id.loc.gov/ontologies/bibframe/Hdl,Equiv_Prop,
http://www.wikidata.org/entity/P608,http://id.loc.gov/ontologies/bibframe/historyOfWork,Ext_Superprop,
http://www.wikidata.org/entity/P9972,http://id.loc.gov/ontologies/bibframe/illustrativeContent,Equiv_Prop,
http://www.wikidata.org/entity/P2360,http://id.loc.gov/ontologies/bibframe/intendedAudience,Equiv_Prop,
http://www.wikidata.org/entity/P1144,http://id.loc.gov/ontologies/bibframe/Lccn,Equiv_Prop,
http://www.wikidata.org/entity/P495,http://id.loc.gov/ontologies/bibframe/originPlace,Ext_Superprop,
http://www.wikidata.org/entity/P1365,http://id.loc.gov/ontologies/bibframe/replacementOf,Equiv_Prop,
http://www.wikidata.org/entity/P2913,http://id.loc.gov/ontologies/bibframe/temporalCoverage,Equiv_Prop,
http://www.wikidata.org/entity/P1476,http://id.loc.gov/ontologies/bibframe/title,Exact_Prop,
http://www.wikidata.org/entity/P1476,http://id.loc.gov/ontologies/bibframe/title,Equiv_Prop,
http://www.wikidata.org/entity/P629,http://id.loc.gov/ontologies/bibframe/translationOf,Ext_Subprop,
http://www.wikidata.org/entity/P9745,http://id.loc.gov/ontologies/bibframe/translationOf,Exact_Prop,
http://www.wikidata.org/entity/P412,http://id.loc.gov/ontologies/bibframe/voice,Equiv_Prop,
http://www.wikidata.org/entity/P1149,http://id.loc.gov/ontologies/lcc,Equiv_Prop,
http://www.wikidata.org/entity/P570,http://id.loc.gov/ontologies/madsrdf/v1.html#deathDate,Equiv_Prop,
http://www.wikidata.org/entity/P1149,http://id.loc.gov/vocabulary/classSchemes/lcc,Equiv_Prop,
http://www.wikidata.org/entity/P8061,http://id.loc.gov/vocabulary/identifiers/agrovoc,Equiv_Prop,
http://www.wikidata.org/entity/P4823,http://id.loc.gov/vocabulary/identifiers/amnbo,Equiv_Prop,
http://www.wikidata.org/entity/P2042,http://id.loc.gov/vocabulary/identifiers/artsy,Equiv_Prop,
http://www.wikidata.org/entity/P1157,http://id.loc.gov/vocabulary/identifiers/bdusc,Equiv_Prop,
http://www.wikidata.org/entity/P268,http://id.loc.gov/vocabulary/identifiers/bnfcg,Equiv_Prop,
http://www.wikidata.org/entity/P356,http://id.loc.gov/vocabulary/identifiers/doi,Equiv_Prop,
http://www.wikidata.org/entity/P1667,http://id.loc.gov/vocabulary/identifiers/gettytgn,Equiv_Prop,
http://www.wikidata.org/entity/P1184,http://id.loc.gov/vocabulary/identifiers/hdl,Equiv_Prop,
http://www.wikidata.org/entity/P269,http://id.loc.gov/vocabulary/identifiers/idref,Equiv_Prop,
http://www.wikidata.org/entity/P3035,http://id.loc.gov/vocabulary/identifiers/isbnre,Equiv_Prop,
http://www.wikidata.org/entity/P791,http://id.loc.gov/vocabulary/identifiers/isil,Equiv_Prop,
http://www.wikidata.org/entity/P213,http://id.loc.gov/vocabulary/identifiers/isni,Equiv_Prop,
http://www.wikidata.org/entity/P4280,http://id.loc.gov/vocabulary/identifiers/istc,Equiv_Prop,
http://www.wikidata.org/entity/P1144,http://id.loc.gov/vocabulary/identifiers/lccn,Equiv_Prop,
http://www.wikidata.org/entity/P1144,http://id.loc.gov/vocabulary/identifiers/lccn.skos.json,Equiv_Prop,
http://www.wikidata.org/entity/P402,http://id.loc.gov/vocabulary/identifiers/opensm,Ext_Superprop,
http://www.wikidata.org/entity/P496,http://id.loc.gov/vocabulary/identifiers/orcid,Equiv_Prop,
http://www.wikidata.org/entity/P650,http://id.loc.gov/vocabulary/identifiers/rkda,Equiv_Prop,
http://www.wikidata.org/entity/P3962,http://id.loc.gov/vocabulary/identifiers/upc,Equiv_Prop,
http://www.wikidata.org/entity/P306,http://id.loc.gov/vocabulary/preservation/environmentFunctionType/ops,Equiv_Prop,
http://www.wikidata.org/entity/P11105,http://id.loc.gov/vocabulary/relators/ann,Equiv_Prop,
http://www.wikidata.org/entity/P50,http://id.loc.gov/vocabulary/relators/aut,Equiv_Prop,
http://www.wikidata.org/entity/P175,http://id.loc.gov/vocabulary/relators/prf,Equiv_Prop,
http://www.wikidata.org/entity/P840,http://id.loc.gov/vocabulary/relators/stg,Ext_Superprop,
http://www.wikidata.org/entity/P2408,http://id.loc.gov/vocabulary/relators/stg,Ext_Superprop,
http://www.wikidata.org/entity/P2561,http://id.nlm.nih.gov/mesh/vocab#altLabel,Ext_Subprop,
