item,pred,ext
http://www.wikidata.org/entity/Q1294626,http://www.wikidata.org/prop/direct/P1709,http://purl.org/ontology/mo/MusicArtist
http://www.wikidata.org/entity/Q1295201,http://www.wikidata.org/prop/direct/P1709,https://schema.org/GroceryStore
http://www.wikidata.org/entity/Q1295201,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn30/03461385-n
http://www.wikidata.org/entity/Q1295201,http://www.wikidata.org/prop/direct/P2888,http://wordnet-rdf.princeton.edu/wn31/103437878-n
http://www.wikidata.org/entity/Q12973014,http://www.wikidata.org/prop/direct/P1709,https://schema.org/SportsTeam
http://www.wikidata.org/entity/Q1298668,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/ResearchProject
http://www.wikidata.org/entity/Q130003,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/SkiResort
http://www.wikidata.org/entity/Q130003,http://www.wikidata.org/prop/direct/P1709,https://schema.org/SkiResort
http://www.wikidata.org/entity/Q13107184,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Pharmacy
http://www.wikidata.org/entity/Q13107184,http://www.wikidata.org/prop/direct/P1709,https://www.schema.org/Pharmacy
http://www.wikidata.org/entity/Q1311064,http://www.wikidata.org/prop/direct/P1709,https://schema.org/IceCreamShop
http://www.wikidata.org/entity/Q131512,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Farmer
http://www.wikidata.org/entity/Q131734,http://www.wikidata.org/prop/direct/P1709,https://schema.org/Brewery
http://www.wikidata.org/entity/Q131734,http://www.wikidata.org/prop/direct/P2888,http://purl.obolibrary.org/obo/ENVO_00003885
http://www.wikidata.org/entity/Q1317534,http://www.wikidata.org/prop/direct/P2888,http://cv.iptc.org/newscodes/spichrole/goaltender
http://www.wikidata.org/entity/Q132050,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/Governor
http://www.wikidata.org/entity/Q13219587,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/ontology/FigureSkater
http://www.wikidata.org/entity/Q1336920,http://www.wikidata.org/prop/direct/P1709,http://dbpedia.org/resource/Community_college
